# suite llms index
generated_at: 2026-02-14T04:57:32.002Z
root_count: 20
entry_count: 239

type	name	path	description
agent	ADR Writer	Packs/copilot-architecture-governance-pack/.github/agents/adr-writer.agent.md	Creates crisp, Nygard-style ADRs with alternatives, constraints, and consequences; maintains ADR index.
agent	Architecture & Governance Steward	Packs/copilot-architecture-governance-pack/.github/agents/architecture-governance-steward.agent.md	Ensures ADR discipline, trunk-based workflow, review gates, and decision hygiene with minimal bureaucracy.
agent	Change Risk Scorer	Packs/copilot-architecture-governance-pack/.github/agents/change-risk-scorer.agent.md	Scores change risk and prescribes verification gates (tests, rollout, monitoring, rollback).
agent	Code Review Marshal	Packs/copilot-architecture-governance-pack/.github/agents/code-review-marshal.agent.md	Enforces review standards for long-term code health: correctness, readability, maintainability, security, and operability.
agent	Trunk Coach	Packs/copilot-architecture-governance-pack/.github/agents/trunk-coach.agent.md	Enforces trunk-based development discipline: small merges, short-lived branches, feature flags, and always releasable trunk.
prompt	brief:architecture-brief	Packs/copilot-architecture-governance-pack/.github/prompts/architecture-brief.prompt.md	Ask for missing architecture/governance constraints before proceeding.
prompt	brief:architecture-ship	Packs/copilot-architecture-governance-pack/.github/prompts/architecture-ship.prompt.md	>-
prompt	brief:governance-review	Packs/copilot-architecture-governance-pack/.github/prompts/governance-review.prompt.md	>-
prompt	brief:risk-score-change	Packs/copilot-architecture-governance-pack/.github/prompts/risk-score-change.prompt.md	>-
prompt	brief:trunk-slice	Packs/copilot-architecture-governance-pack/.github/prompts/trunk-slice.prompt.md	>-
prompt	brief:write-adr	Packs/copilot-architecture-governance-pack/.github/prompts/write-adr.prompt.md	>-
skill	adr-discipline-nygard	Packs/copilot-architecture-governance-pack/.github/skills/adr-discipline-nygard/SKILL.md	Create and maintain concise Nygard-style ADRs and an ADR index; keep decisions discoverable and current.
skill	change-risk-scoring	Packs/copilot-architecture-governance-pack/.github/skills/change-risk-scoring/SKILL.md	Score changes by blast radius and prescribe verification, rollout, and rollback plans proportional to risk.
